case,median_ns,min_ns,max_ns
# caller_pool=4,pip_cap=1
f64_add_into_3,77.6,40.8,89.0
f64_scale_allocating_3,59.5,57.6,76.8
f32_add_into_3,58.6,57.8,59.4
f64_add_into_127,98.9,97.9,102.4
f64_scale_allocating_127,106.9,100.5,109.1
f32_add_into_127,83.0,82.9,84.9
f64_add_into_100003,106649.1,105671.3,119520.7
f64_scale_allocating_100003,120027.0,120005.4,120200.6
f32_add_into_100003,52285.0,52260.2,52620.0
f64_add_into_1000003,1092066.6,1083650.9,1093407.3
f64_scale_allocating_1000003,1507811.8,1501702.3,1556707.6
f32_add_into_1000003,449164.0,435490.7,465638.5
sparse_scale_1_of_1e9,108.4,93.6,116.5
matmul_into_4x4x4,124.8,123.7,126.5
matmul_slice_reference_4x4x4,65.1,59.7,71.0
transpose_4x4,53.9,53.5,83.7
matmul_into_64x96x48,101759.8,98169.6,110169.5
matmul_slice_reference_64x96x48,252232.1,248258.6,263139.8
transpose_64x96,5292.7,5286.1,5547.1
matmul_into_128x128x128,685884.0,679988.6,702088.8
matmul_slice_reference_128x128x128,1868272.4,1866433.0,2039559.0
transpose_128x128,19504.8,19431.0,20292.4
laplacian_128x128,36465.9,35179.4,39478.6
pair_refresh_10000,470530.5,463399.8,502692.5
explicit_euler_10000x3,46365.2,46315.9,47429.6
kinetic_summary_10000x3,67269.0,67192.6,70163.4
spring_force_9999_edges,314513.6,312146.6,331017.1
graph_replace_batch_4_of_9999,295.7,295.3,298.4
neighbors_rebuild_query_10000,6230500.8,6219888.0,6355349.6
# caller_pool=4,pip_cap=4
f64_add_into_3,25.9,25.8,25.9
f64_scale_allocating_3,27.2,25.6,30.0
f32_add_into_3,31.3,28.4,34.5
f64_add_into_127,47.9,47.8,52.2
f64_scale_allocating_127,61.5,51.7,66.3
f32_add_into_127,41.5,41.4,41.7
f64_add_into_100003,47058.0,42498.2,47730.1
f64_scale_allocating_100003,97769.0,97696.8,98313.0
f32_add_into_100003,27840.0,27641.7,28285.2
f64_add_into_1000003,514234.2,483081.8,521300.2
f64_scale_allocating_1000003,1099036.5,1096416.2,1123719.6
f32_add_into_1000003,254368.6,252368.6,255265.5
sparse_scale_1_of_1e9,78.4,73.4,94.1
matmul_into_4x4x4,113.4,113.4,118.3
matmul_slice_reference_4x4x4,59.7,59.6,60.0
transpose_4x4,52.9,52.8,52.9
matmul_into_64x96x48,93951.2,93606.9,94060.4
matmul_slice_reference_64x96x48,250946.0,248208.7,259619.2
transpose_64x96,5240.6,5238.1,5399.4
matmul_into_128x128x128,538344.0,526845.0,566853.4
matmul_slice_reference_128x128x128,2295312.2,2288598.0,2338640.8
transpose_128x128,24194.8,22108.8,25218.6
laplacian_128x128,31503.0,30932.4,32792.2
pair_refresh_10000,366777.6,326245.2,371989.4
explicit_euler_10000x3,40566.9,36604.0,41447.4
kinetic_summary_10000x3,67330.0,67278.4,71019.7
spring_force_9999_edges,313205.9,312359.0,322711.6
graph_replace_batch_4_of_9999,295.6,295.4,299.0
neighbors_rebuild_query_10000,6217087.0,6214319.0,6309272.8
