case,median_ns,min_ns,max_ns
# caller_pool=4,pip_cap=1
large_f64_add_into_1000003,1057366.0,1053602.0,1071086.7
large_f64_scale_allocating_1000003,761242.0,760427.7,765973.3
large_f64_add_into_10000003,19837572.0,19658580.3,19907084.7
large_f64_scale_allocating_10000003,47622932.0,46761582.3,52330726.0
large_matmul_512,78195620.0,77272753.0,79354032.0
large_laplacian_2048x2048,14522848.0,14355444.0,20542053.3
large_euler_1000000x3,7381058.0,7277969.0,7450293.4
large_kinetic_1000000x3,6611327.2,6386052.6,6726212.0
large_neighbors_250000,103443197.0,103009024.0,104488318.0
# caller_pool=4,pip_cap=4
large_f64_add_into_1000003,576408.0,486549.0,718709.0
large_f64_scale_allocating_1000003,391760.0,385957.7,441244.0
large_f64_add_into_10000003,8235908.3,7608525.7,8521331.0
large_f64_scale_allocating_10000003,21629659.7,21384014.3,21930473.3
large_matmul_512,26442280.0,26328189.0,26930670.0
large_laplacian_2048x2048,5003439.3,4772435.7,5008761.3
large_euler_1000000x3,2526385.8,2226475.6,2721407.0
large_kinetic_1000000x3,2736890.6,2669312.6,2754053.4
large_neighbors_250000,106346866.0,103778497.0,107164451.0
