case,median_ns,min_ns,max_ns
# caller_pool=4,pip_cap=1
large_f64_add_into_1000003,1153102.0,1118972.0,1213369.7
large_f64_scale_allocating_1000003,1654283.7,1546509.0,1754637.0
large_f64_add_into_10000003,18814744.0,18781660.7,18894675.7
large_f64_scale_allocating_10000003,54162768.0,53596136.3,59423002.3
large_matmul_512,73539920.0,73408897.0,74275164.0
large_laplacian_2048x2048,13579445.0,13563878.3,13613358.7
large_euler_1000000x3,6667333.0,6638388.2,6714910.2
large_kinetic_1000000x3,6992945.0,6986596.4,7078157.8
large_neighbors_250000,200785533.0,199787894.0,211040955.0
# caller_pool=4,pip_cap=4
large_f64_add_into_1000003,506366.3,459398.0,525907.7
large_f64_scale_allocating_1000003,1619160.7,1535730.3,1645228.3
large_f64_add_into_10000003,10613537.0,10522476.3,11130835.7
large_f64_scale_allocating_10000003,58600254.7,58213117.0,73643767.0
large_matmul_512,27390698.0,26540016.0,27462195.0
large_laplacian_2048x2048,4941456.0,4908860.3,5006917.3
large_euler_1000000x3,3437095.6,3320961.6,3605099.6
large_kinetic_1000000x3,7797656.0,7714418.4,8992511.4
large_neighbors_250000,211961930.0,211112205.0,214185088.0
