record,type,operation,backend,elements,median_ns,min_ns,max_ns,ns_per_element,speedup_vs_scalar
TIMING,f32,add,Scalar,31,69.37,27.28,100.28,2.238,1.000
TIMING,f32,add,Avx2,31,34.23,34.22,34.29,1.104,2.027
TIMING,f32,add,Avx512,31,39.23,38.37,54.15,1.265,1.769
TIMING,f32,add,Auto,31,30.54,30.51,37.89,0.985,2.272
TIMING,f32,subtract,Scalar,31,27.14,26.94,27.31,0.876,1.000
TIMING,f32,subtract,Avx2,31,24.62,24.61,42.17,0.794,1.103
TIMING,f32,subtract,Avx512,31,34.21,34.21,34.24,1.104,0.793
TIMING,f32,subtract,Auto,31,30.42,30.34,30.45,0.981,0.892
TIMING,f32,multiply,Scalar,31,27.14,27.02,33.92,0.876,1.000
TIMING,f32,multiply,Avx2,31,23.60,23.58,23.64,0.761,1.150
TIMING,f32,multiply,Avx512,31,32.21,32.12,49.48,1.039,0.843
TIMING,f32,multiply,Auto,31,30.54,30.53,30.55,0.985,0.889
TIMING,f32,divide,Scalar,31,38.79,38.79,45.02,1.251,1.000
TIMING,f32,divide,Avx2,31,25.06,25.04,25.24,0.808,1.548
TIMING,f32,divide,Avx512,31,35.53,35.53,35.56,1.146,1.092
TIMING,f32,divide,Auto,31,38.80,38.78,51.29,1.252,1.000
TIMING,f32,scale_in_place,Scalar,31,24.30,24.28,24.33,0.784,1.000
TIMING,f32,scale_in_place,Avx2,31,22.13,20.44,26.67,0.714,1.098
TIMING,f32,scale_in_place,Avx512,31,18.99,18.97,19.03,0.613,1.279
TIMING,f32,scale_in_place,Auto,31,24.30,24.21,24.34,0.784,1.000
TIMING,f32,copy_scale,Scalar,31,25.29,25.26,25.38,0.816,1.000
TIMING,f32,copy_scale,Avx2,31,19.64,19.63,34.88,0.634,1.287
TIMING,f32,copy_scale,Avx512,31,22.75,22.71,22.86,0.734,1.111
TIMING,f32,allocating_scale,Scalar,31,34.35,34.04,39.80,1.108,1.000
TIMING,f32,allocating_scale,Avx2,31,30.52,30.48,31.28,0.984,1.126
TIMING,f32,allocating_scale,Avx512,31,31.66,31.56,45.13,1.021,1.085
