record,type,operation,backend,elements,median_ns,min_ns,max_ns,ns_per_element,speedup_vs_scalar
TIMING,f32,add,Scalar,31,21.28,21.14,21.36,0.686,1.000
TIMING,f32,add,Avx2,31,27.01,27.01,27.19,0.871,0.788
TIMING,f32,add,Avx512,31,41.55,41.34,58.78,1.340,0.512
TIMING,f32,add,Auto,31,23.52,23.52,23.53,0.759,0.905
TIMING,f32,subtract,Scalar,31,16.64,16.62,16.65,0.537,1.000
TIMING,f32,subtract,Avx2,31,26.34,26.34,26.44,0.850,0.632
TIMING,f32,subtract,Avx512,31,41.58,41.57,41.59,1.341,0.400
TIMING,f32,subtract,Auto,31,26.57,26.44,35.64,0.857,0.626
TIMING,f32,multiply,Scalar,31,18.11,18.10,18.15,0.584,1.000
TIMING,f32,multiply,Avx2,31,24.60,24.57,24.89,0.793,0.736
TIMING,f32,multiply,Avx512,31,34.44,34.42,45.64,1.111,0.526
TIMING,f32,multiply,Auto,31,23.01,22.54,23.04,0.742,0.787
TIMING,f32,divide,Scalar,31,15.49,15.46,15.51,0.500,1.000
TIMING,f32,divide,Avx2,31,26.25,26.09,32.49,0.847,0.590
TIMING,f32,divide,Avx512,31,40.05,40.04,40.06,1.292,0.387
TIMING,f32,divide,Auto,31,21.72,21.71,21.73,0.701,0.713
TIMING,f32,scale_in_place,Scalar,31,19.67,19.65,19.71,0.635,1.000
TIMING,f32,scale_in_place,Avx2,31,20.48,20.47,20.48,0.660,0.961
TIMING,f32,scale_in_place,Avx512,31,21.31,20.04,27.42,0.687,0.923
TIMING,f32,scale_in_place,Auto,31,17.42,17.39,17.62,0.562,1.129
TIMING,f32,copy_scale,Scalar,31,16.89,16.80,17.20,0.545,1.000
TIMING,f32,copy_scale,Avx2,31,17.56,17.55,18.83,0.566,0.962
TIMING,f32,copy_scale,Avx512,31,14.22,14.21,14.24,0.459,1.188
TIMING,f32,allocating_scale,Scalar,31,29.74,29.29,30.31,0.959,1.000
TIMING,f32,allocating_scale,Avx2,31,32.13,32.11,32.51,1.036,0.926
TIMING,f32,allocating_scale,Avx512,31,27.86,27.84,32.99,0.899,1.067
TIMING,f32,allocating_scale,Auto,31,36.66,34.98,37.03,1.182,0.811
TIMING,f32,add,Scalar,128,27.03,26.90,27.16,0.211,1.000
TIMING,f32,add,Avx2,128,22.14,22.13,22.16,0.173,1.221
TIMING,f32,add,Avx512,128,16.90,16.86,17.15,0.132,1.599
TIMING,f32,add,Auto,128,20.46,20.45,25.43,0.160,1.321
TIMING,f32,subtract,Scalar,128,26.91,26.89,27.15,0.210,1.000
TIMING,f32,subtract,Avx2,128,22.13,22.12,22.14,0.173,1.216
TIMING,f32,subtract,Avx512,128,16.72,16.70,16.80,0.131,1.610
TIMING,f32,subtract,Auto,128,20.45,20.45,20.54,0.160,1.316
TIMING,f32,multiply,Scalar,128,27.12,26.91,27.20,0.212,1.000
TIMING,f32,multiply,Avx2,128,21.94,21.93,27.41,0.171,1.236
TIMING,f32,multiply,Avx512,128,16.71,16.70,16.76,0.131,1.623
TIMING,f32,multiply,Auto,128,20.45,20.45,20.50,0.160,1.326
TIMING,f32,divide,Scalar,128,40.05,40.03,40.12,0.313,1.000
TIMING,f32,divide,Avx2,128,33.37,33.37,33.37,0.261,1.200
TIMING,f32,divide,Avx512,128,33.37,33.37,38.79,0.261,1.200
TIMING,f32,divide,Auto,128,33.37,33.37,33.41,0.261,1.200
TIMING,f32,scale_in_place,Scalar,128,27.81,27.79,27.86,0.217,1.000
TIMING,f32,scale_in_place,Avx2,128,18.17,18.08,18.23,0.142,1.531
TIMING,f32,scale_in_place,Avx512,128,15.56,15.53,15.89,0.122,1.787
TIMING,f32,scale_in_place,Auto,128,16.11,15.71,16.15,0.126,1.726
TIMING,f32,copy_scale,Scalar,128,23.85,23.84,28.17,0.186,1.000
TIMING,f32,copy_scale,Avx2,128,19.64,19.62,19.64,0.153,1.215
TIMING,f32,copy_scale,Avx512,128,15.81,15.69,29.00,0.123,1.509
TIMING,f32,allocating_scale,Scalar,128,38.41,38.28,38.87,0.300,1.000
TIMING,f32,allocating_scale,Avx2,128,32.55,32.49,32.99,0.254,1.180
TIMING,f32,allocating_scale,Avx512,128,29.57,29.22,41.44,0.231,1.299
TIMING,f32,allocating_scale,Auto,128,32.30,32.29,32.57,0.252,1.189
TIMING,f32,add,Scalar,4099,1285.46,1284.14,1474.19,0.314,1.000
TIMING,f32,add,Avx2,4099,851.63,778.73,1027.02,0.208,1.509
TIMING,f32,add,Avx512,4099,732.33,729.76,919.05,0.179,1.755
TIMING,f32,add,Auto,4099,738.79,737.08,823.41,0.180,1.740
TIMING,f32,subtract,Scalar,4099,1273.35,1272.65,1274.11,0.311,1.000
TIMING,f32,subtract,Avx2,4099,852.40,778.70,1035.44,0.208,1.494
TIMING,f32,subtract,Avx512,4099,732.32,729.30,922.37,0.179,1.739
TIMING,f32,subtract,Auto,4099,739.40,737.02,740.89,0.180,1.722
TIMING,f32,multiply,Scalar,4099,1273.30,1271.27,1367.03,0.311,1.000
TIMING,f32,multiply,Avx2,4099,778.79,777.94,779.81,0.190,1.635
TIMING,f32,multiply,Avx512,4099,732.48,730.57,815.95,0.179,1.738
TIMING,f32,multiply,Auto,4099,739.16,737.48,742.13,0.180,1.723
TIMING,f32,divide,Scalar,4099,1290.65,1290.08,1368.94,0.315,1.000
TIMING,f32,divide,Avx2,4099,1074.81,1073.51,1262.14,0.262,1.201
TIMING,f32,divide,Avx512,4099,1073.60,1073.51,1155.37,0.262,1.202
TIMING,f32,divide,Auto,4099,1073.65,1073.62,1074.78,0.262,1.202
TIMING,f32,scale_in_place,Scalar,4099,449.92,449.41,639.73,0.110,1.000
TIMING,f32,scale_in_place,Avx2,4099,240.27,240.25,241.54,0.059,1.873
TIMING,f32,scale_in_place,Avx512,4099,260.76,260.44,325.62,0.064,1.725
TIMING,f32,scale_in_place,Auto,4099,262.48,262.10,267.03,0.064,1.714
